BELLAVISTA	SAN PABLO	JOSE PARDO	0303263	0	0231 ALFONSO UGARTE VERNAL	B0 - Primaria
BELLAVISTA	ALTO BIAVO	INCAICO	0303305	0	0238 MANCO CAPAC	B0 - Primaria
BELLAVISTA	ALTO BIAVO	GONZALES PRADA	0303347	0	0242 BENJAMIN TORRES TORRES	B0 - Primaria
BELLAVISTA	ALTO BIAVO	MURALLA	0303388	0	0249 SARITA COLINA SAMBRANO	B0 - Primaria
BELLAVISTA	ALTO BIAVO	NUEVO ARICA	0303396	0	0250 LOS HEROES DE ARICA	B0 - Primaria
BELLAVISTA	SAN PABLO	CENTRO AMERICA	0473835	0	0630 JUSTINIANO SHUÑA PAIMA	B0 - Primaria
BELLAVISTA	BAJO BIAVO	PACASMAYO	0514521	0	0724	B0 - Primaria
BELLAVISTA	SAN PABLO	DOS DE MAYO	0548230	0	0687 JOSE AVELARDO QUIÑONES GONZALES	B0 - Primaria
BELLAVISTA	ALTO BIAVO	PUERTO BERMUDEZ	0549212	0	0678 JUAN PINCHI URQUIA	B0 - Primaria
BELLAVISTA	ALTO BIAVO	ABANCAY	0549311	0	0679 ABELARDO PAREDES TANANTA	B0 - Primaria
BELLAVISTA	BELLAVISTA	ALTO ÑEJAZAPA	0565192	0	0164 MICAELA BASTIDA PUYUCAWA	B0 - Primaria
BELLAVISTA	ALTO BIAVO	NUEVO SAN MIGUEL	0603233	0	0259 RAMON CASTILLA MARQUESADO	B0 - Primaria
BELLAVISTA	SAN PABLO	SAN ANDRES	0639120	0	0388 JUAN DE LA CRUZ SALAS SALAS	B0 - Primaria
BELLAVISTA	BAJO BIAVO	SANTA FLOR	0639153	0	0298	B0 - Primaria
BELLAVISTA	BELLAVISTA	BUENOS AIRES	0675926	0	0116 SAGRADO CORAZON DE JESUS	B0 - Primaria
BELLAVISTA	ALTO BIAVO	NUEVO SAN MARTIN	0676171	0	0122 JOSE CARLOS MARIATEGUI	B0 - Primaria
BELLAVISTA	ALTO BIAVO	ANDOAS	0676189	0	0123 REYNALDO PAREDES SAAVEDRA	B0 - Primaria
BELLAVISTA	BAJO BIAVO	NUEVA UNION	0676197	0	0136	B0 - Primaria
BELLAVISTA	BELLAVISTA	MISQUIYACU	0676437	0	0069 FRANCISCO IZQUIERDO RIOS	B0 - Primaria
BELLAVISTA	BAJO BIAVO	NUEVO PROGRESO	0677468	0	0475	B0 - Primaria
